type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
neighborhood,Burien,Old Burien,28,259725,-0.076208099,0.107142857,86,6,17,0.083333333,-0.176470588,0.240916192,-0.069409643,0.107142857,-68,-0.727272727,-0.575,-0.028606965
neighborhood,Burien,Salmon Creek,4,118500,-0.052,0,14,1,7,0,-0.666666667,0.23652604,-0.005255088,-0.25,40,-0.857142857,-0.695652174,-0.333333333
neighborhood,Burien,Seola Beach,0,,,,,0,0,,,,,,,,,
neighborhood,Burien,Sunnydale,31,246203,-0.072748137,0.096774194,59,14,39,0.24691358,-0.403846154,0.229232613,-0.072094313,0.096774194,-41,-0.5,-0.235294118,0.085236934
neighborhood,Burien,Three Tree Point,0,,,,,1,0,0.666666667,,,,,,,,
neighborhood,Des Moines,Central Des Moines,71,98802,-0.007616849,0.366197183,24,40,98,0.165975104,-0.366071429,-0.160974201,-0.006549303,0.03584004,7,-0.069767442,-0.209677419,-0.008443501
neighborhood,Des Moines,Downtown,18,249722,-0.001348403,0.333333333,19,24,47,0.171232877,-0.772151899,0.767905814,0.003389728,0.029535865,15,-0.2,-0.505263158,0.018690504
neighborhood,Des Moines,North Hill,0,,,,,0,0,,,,,,,,,
neighborhood,Des Moines,Pacific Ridge,25,90072,-0.005657064,0.48,23,7,25,0,5.25,0.640655738,-0.005657064,0.48,-2,0,1.083333333,-0.139534884
neighborhood,Des Moines,South Des Moines,26,84844,0.004486184,0.5,33,17,42,0.115384615,-0.469387755,-0.133847175,0.003436422,0.091836735,-2,-0.055555556,-0.20754717,-0.095624559
neighborhood,Des Moines,Woodmont,28,87787,0.014383209,0.642857143,7,16,51,0.150537634,-0.377777778,0.027854534,0.019338164,0.487301587,49,-0.304347826,0.243902439,-0.12887413
neighborhood,Des Moines,Woodmont Beach,13,99273,0.015335745,0.769230769,48,9,28,0,3.333333333,,,,,0.5,0.473684211,-0.323529412
neighborhood,Des Moines,Woodmont West,0,,,,,2,10,0.25,-1,,,,,-0.714285714,-0.230769231,-0.1
neighborhood,Des Moines,Zenith,21,235476,-0.001155774,0.285714286,39,19,35,0.155172414,-0.708333333,0.698715914,0.000104526,-0.047619048,-9,-0.321428571,-0.615384615,-0.030456329
neighborhood,Edmonds,Aurora Marketplace,46,147080,0.001474621,0.369565217,29,10,32,0.050847458,-0.292307692,0.044832314,-0.001015488,-0.045819398,-7,-0.523809524,-0.515151515,-0.012144668
neighborhood,Edmonds,Chase Lake,49,147618,-0.001724348,0.387755102,23,20,71,0.177966102,-0.125,-0.306143361,-0.002194272,0.048469388,2,0.25,0.163934426,0.104281891
neighborhood,Edmonds,Downtown,118,303025,-0.005451556,0.186440678,8,36,136,0.148148148,-0.048387097,-0.053812695,0.009873435,0.073537452,22,0,0.172413793,-0.085796806
neighborhood,Edmonds,Edmonds Bowl,19,355473,0.003569268,0.210526316,33,9,25,0.192307692,-0.173913043,-0.05371727,0.027996999,-0.09382151,23,0.125,-0.137931034,-0.141025641
neighborhood,Edmonds,Firdale,28,152989,-0.000239286,0.357142857,44,13,45,0.213333333,-0.461538462,0.102782383,0.000950694,-0.027472527,-16,-0.35,-0.134615385,0.120896359
neighborhood,Edmonds,Madrona,12,194583,0.004022989,0.5,6,4,15,0.136363636,-0.555555556,0.542950258,0.003202092,0.055555556,28,-0.5,-0.117647059,0.047474747
neighborhood,Edmonds,Maplewood,26,239409,-0.006048507,0.384615385,13,7,23,0.227272727,1,0.351951616,-0.12263918,-0.076923077,0,0.4,0.642857143,0.227272727
neighborhood,Edmonds,Meadowdale,45,229923,-0.000225868,0.2,15,25,95,0.266666667,0.323529412,0.339167458,-0.023123863,-0.594117647,-6,0.785714286,0.979166667,0.123809524
neighborhood,Edmonds,Olympic View,4,228400,-0.006524576,0,4,1,3,,-0.555555556,0.275763838,0.020096664,0,70,,0,
neighborhood,Edmonds,Perrinville,4,228400,-0.006524576,0,4,1,3,,-0.555555556,0.275763838,0.020096664,0,70,,0,
neighborhood,Edmonds,Port of Edmonds,106,362678,-0.000796115,0.179245283,7,33,125,0.150753769,-0.203007519,0.026236114,0.010150936,0.104057313,20,-0.083333333,0.10619469,-0.121135632
neighborhood,Edmonds,Seaview Park,10,217930,-0.029053906,0,46,2,3,0.333333333,2.333333333,,,,,,0,
neighborhood,Edmonds,South County Park,0,,,,,0,0,,,,,,,,,
neighborhood,Edmonds,Talbot Park,0,,,,,0,0,,,,,,,,,
neighborhood,Edmonds,Westgate,0,,,,,0,0,,,,,,,,,
