type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
neighborhood,Bellevue,Woodridge,27,687777,0.059775433,0.851851852,6,12,58,0.162162162,-0.534482759,0.019381948,0.038698955,0.300127714,-1,-0.428571429,-0.447619048,0.075547989
neighborhood,Bothell,Canyon Creek,151,595125,4.03E-06,0.357615894,19,75,262,0.118303571,0.135338346,0.325386397,-0.000615997,-0.273963053,-6,0.829268293,0.690322581,-0.013383671
neighborhood,Bothell,Canyon Park,7,317857,-0.032503197,0.428571429,18,6,16,0.25,-0.416666667,0.068444848,-0.014496255,0.178571429,12,-0.142857143,0.6,0.019230769
neighborhood,Bothell,Downtown,13,500423,0.015202802,0.538461538,10,10,47,0.25,-0.235294118,-0.016900905,0.011840869,-0.108597285,20,-0.090909091,0.02173913,0.159090909
neighborhood,Bothell,Fitzgerald,61,549513,-3.02E-05,0.426229508,15,31,92,0.213903743,0.109090909,0.051289066,-0.012197491,-0.064679583,-7,1.384615385,0.84,-0.048596257
neighborhood,Bothell,Lake Pleasant,35,519662,-0.000997462,0.171428571,6,13,53,0.075949367,2.5,0.358948745,-0.012658115,-0.228571429,-2,0.857142857,0.709677419,-0.070392096
neighborhood,Bothell,Mays Pond,187,364588,-0.000963795,0.411764706,7,98,358,0.261904762,-0.065,-0.001574639,-0.00182432,-0.073235294,3,1.085106383,0.817258883,0.093445981
neighborhood,Bothell,Maywood,49,465867,0.023141251,0.530612245,6,19,85,0.159292035,0,0.099907685,0.013516732,-0.142857143,-1,-0.136363636,-0.04494382,0.019757152
neighborhood,Bothell,Norway Hill,62,457415,0.007062735,0.629032258,6,31,138,0.164893617,-0.303370787,0.09407963,0.004035697,0.022290685,3,0,0.289719626,0.062190914
neighborhood,Bothell,Queensborough,85,384129,-0.001216414,0.376470588,14,30,104,0.224719101,-0.055555556,0.137337747,-0.00868195,-0.156862745,-6,-0.142857143,-0.240875912,-0.00605013
