region,city,neighborhood,sold,price,toList,aboveList,dom,forSale,drop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,dropYoY
neighborhood,Bothell,Canyon Creek,129,591400,0,0.287,23,71,0.111,-0.044,0.311,-0.001,-0.343,-9,0.868,-0.02
neighborhood,Bothell,Canyon Park,9,344333,-0.023,0.444,21,6,0.273,-0.25,0.13,-0.016,0.111,1,-0.143,0.031
neighborhood,Bothell,Downtown,7,519286,0.007,0.714,18,8,0.277,-0.563,0.044,0,0.027,7,-0.111,0.187
neighborhood,Bothell,Fitzgerald,50,548616,0,0.34,18,29,0.217,-0.074,0.049,-0.012,-0.197,-9,1.231,-0.049
neighborhood,Bothell,Lake Pleasant,29,497323,-0.004,0.172,13,10,0.052,0.933,0.333,-0.008,-0.228,-8,0.667,-0.083
neighborhood,Bothell,Mays Pond,140,371243,0,0.414,5,89,0.208,-0.3,0.013,-0.001,-0.071,7,0.894,0.028
neighborhood,Bothell,Maywood,46,474489,0.011,0.435,7,16,0.179,-0.115,0.099,0.005,-0.181,-2,-0.2,0.047
neighborhood,Bothell,Norway Hill,56,501226,0.006,0.571,9,25,0.128,-0.378,0.204,0.004,-0.017,1,-0.167,0.033
neighborhood,Bothell,Queensborough,68,382500,-0.002,0.324,15,26,0.223,-0.218,0.138,-0.008,-0.171,-7,-0.235,-0.015
neighborhood,Bothell,Queensgate,44,432273,0.002,0.477,11,15,0.225,-0.5,-0.022,-0.007,-0.159,0,-0.286,0.08
neighborhood,Bothell,Shelton View,32,333625,0.003,0.438,43,11,0.09,-0.556,0.003,-0.006,-0.188,-37,-0.353,0.001
neighborhood,Bothell,Thrasher's Corner,17,452262,-0.001,0.176,6,6,0.079,-0.32,0.01,-0.016,-0.704,-1,0,-0.073
neighborhood,Bothell,Westhill,60,476400,0.024,0.733,8,22,0.13,0.2,-0.039,0.02,0.273,14,0.048,-0.064
neighborhood,Brier,Brier,108,405937,0,0.343,9,58,0.157,-0.498,0.155,-0.002,-0.16,1,0.094,-0.001
neighborhood,Burien,Chelsea Park,28,228446,0.002,0.321,25,12,0.282,0.167,-0.079,-0.016,-0.179,-16,0.091,0.118
neighborhood,Burien,Downtown,11,240859,-0.015,0.273,35,6,0.486,-0.083,-0.084,-0.016,-0.227,-7,0,0.153
neighborhood,Burien,Evansville,116,232179,-0.001,0.345,20,50,0.27,-0.165,0.058,-0.001,-0.116,-4,-0.057,0.081
neighborhood,Burien,Five Corners,14,321714,-0.02,0,103,6,0.419,-0.125,-0.058,-0.018,-0.313,-74,-0.4,0.367
neighborhood,Burien,Gregory Heights,115,366734,-0.009,0.139,36,50,0.3,-0.087,0.027,-0.004,-0.178,-18,-0.091,0.079
neighborhood,Burien,Lake Burien,26,240904,-0.025,0.077,51,9,0.113,-0.366,-0.151,-0.01,-0.265,-43,-0.4,-0.137
neighborhood,Burien,Old Burien,46,250838,-0.011,0.196,29,15,0.114,-0.061,0.016,0.005,-0.192,-17,-0.211,-0.205
neighborhood,Burien,Salmon Creek,26,496269,-0.031,0.154,31,11,0.149,-0.644,0.211,-0.026,-0.175,-14,-0.313,-0.113
neighborhood,Burien,Seola Beach,25,486120,-0.021,0.28,44,7,0.171,-0.286,0.23,-0.013,-0.063,-10,-0.417,0.009
neighborhood,Burien,Sunnydale,10,237500,-0.017,0,100,7,0.35,0.25,-0.03,-0.005,-0.125,-60,0,0.164
neighborhood,Burien,Three Tree Point,39,510504,-0.042,0.154,59,26,0.303,-0.093,0.057,-0.032,-0.148,-30,0.13,0.039
neighborhood,Des Moines,Central Des Moines,151,237443,0,0.252,23,72,0.206,-0.09,-0.055,-0.002,-0.158,-12,-0.1,0.032
neighborhood,Des Moines,Downtown,40,304158,-0.006,0.275,10,24,0.111,-0.245,0.059,-0.001,-0.065,0,-0.04,-0.058
neighborhood,Des Moines,North Hill,101,320018,0,0.406,51,39,0.231,0.135,0.429,-0.002,0.001,-39,0.182,0.073
neighborhood,Des Moines,Pacific Ridge,38,255576,-0.001,0.026,52,11,0.219,0.52,0.104,-0.025,-0.414,-6,-0.389,0.008
neighborhood,Des Moines,South Des Moines,108,243280,-0.005,0.204,24,49,0.253,-0.182,0.134,-0.005,-0.13,4,-0.155,0.098
neighborhood,Des Moines,Woodmont,117,273257,-0.002,0.188,32,54,0.232,-0.086,0.196,-0.001,-0.257,-3,-0.036,0.072
neighborhood,Des Moines,Woodmont Beach,115,267147,-0.008,0.209,25,58,0.242,-0.115,0.199,-0.008,-0.176,3,0.208,0.086
neighborhood,Des Moines,Woodmont West,55,331406,-0.007,0.236,65,30,0.229,-0.052,0.223,0.004,-0.126,-33,0,0.054
neighborhood,Des Moines,Zenith,41,246073,-0.009,0.293,21,23,0.129,-0.241,0.108,-0.01,-0.004,16,-0.148,0.017
neighborhood,Edmonds,Aurora Marketplace,15,370000,0.004,0.8,8,16,0.168,-0.595,0.065,0.007,0.314,9,0,-0.141
neighborhood,Edmonds,Chase Lake,82,372957,0.005,0.5,8,37,0.214,-0.281,-0.004,0.005,0.07,11,-0.119,-0.015
neighborhood,Edmonds,Downtown,77,455558,-0.004,0.403,14,40,0.207,-0.398,-0.122,0,0.121,0,-0.184,0.025
neighborhood,Edmonds,Edmonds Bowl,21,626904,-0.028,0.143,29,13,0.19,-0.25,0.229,-0.01,-0.214,2,-0.35,-0.079
neighborhood,Edmonds,Firdale,51,381843,0.009,0.686,9,28,0.24,-0.549,0.036,0.008,0.208,4,-0.243,0.026
neighborhood,Edmonds,Madrona,7,369714,0.014,0.714,6,9,0.273,-0.667,0.059,0.018,0.333,17,0,-0.067
neighborhood,Edmonds,Maplewood,48,396177,-0.026,0.188,13,22,0.186,-0.495,0.11,-0.025,-0.297,-2,-0.154,-0.053
neighborhood,Edmonds,Meadowdale,148,376521,0.002,0.378,20,100,0.156,0.113,0.119,0.002,-0.095,-11,0.613,-0.022
neighborhood,Edmonds,Olympic View,40,567875,-0.026,0.075,31,25,0.162,-0.412,0.196,-0.013,-0.087,-16,-0.219,-0.034
neighborhood,Edmonds,Perrinville,44,577613,-0.027,0.068,29,27,0.171,-0.405,0.23,-0.019,-0.148,-17,-0.25,-0.025
neighborhood,Edmonds,Port of Edmonds,24,679067,-0.014,0.083,41,12,0.233,-0.351,-0.073,0.024,-0.106,-11,0.5,0.113
neighborhood,Edmonds,Seaview Park,38,339408,-0.007,0.316,41,14,0.212,-0.333,0.006,-0.004,0.088,-30,-0.391,-0.018
neighborhood,Edmonds,South County Park,19,426553,-0.025,0,78,12,0.155,-0.24,-0.328,-0.021,-0.36,-54,-0.25,-0.144
neighborhood,Edmonds,Talbot Park,40,467938,-0.022,0.075,50,24,0.162,-0.365,0.077,-0.021,-0.211,-31,-0.143,-0.129
neighborhood,Edmonds,Westgate,41,430561,0.018,0.585,9,15,0.227,-0.369,0.098,0.016,0.139,2,-0.167,0.057
neighborhood,Edmonds,Yost Park,55,441597,0.023,0.709,7,19,0.239,-0.267,0.171,0.023,0.216,4,-0.174,0.018
neighborhood,Everett,Bayside,32,202719,-0.004,0.344,27,15,0.36,-0.2,-0.004,-0.004,0.044,4,-0.063,0.191
neighborhood,Everett,Boulevard Bluffs,35,492666,-0.006,0.229,35,19,0.342,0.129,0.052,0.011,0.132,-8,0.056,0.072
neighborhood,Everett,Cascade View,30,206510,-0.005,0.233,49,27,0.112,-0.286,-0.16,-0.014,-0.267,-26,0.227,-0.165
neighborhood,Everett,Delta,42,182207,-0.016,0.262,54,17,0.206,-0.16,0.202,-0.025,-0.298,-39,-0.056,0.089
neighborhood,Everett,Downtown,2,,,,,2,0,,,,,,,
neighborhood,Everett,Everett Mall South,37,245262,-0.007,0.324,26,19,0.212,-0.479,-0.017,-0.014,-0.338,-21,-0.321,0.087
neighborhood,Everett,Evergreen,25,232312,-0.023,0.16,36,10,0.254,-0.242,0.076,-0.025,-0.264,-19,-0.333,0.232
neighborhood,Everett,Glacier View,8,205481,-0.003,0.375,29,13,0.151,-0.862,-0.109,-0.005,0.03,-14,-0.071,-0.195
neighborhood,Everett,Harborview-Seahurst-Glenhaven,39,408923,-0.021,0.103,27,22,0.306,-0.371,0.086,-0.02,-0.123,-3,-0.083,0.172
neighborhood,Everett,Holly,32,273644,0.011,0.563,17,16,0.28,-0.347,0.146,0.014,0.093,-1,0,0.147
neighborhood,Everett,Lowell,13,183812,0.028,0.231,59,6,0.355,-0.409,0.096,0.012,-0.451,-20,0,0.155
neighborhood,Everett,Northwest,39,246308,-0.008,0.462,11,20,0.322,-0.473,0.062,-0.008,0.218,3,-0.13,-0.04
neighborhood,Everett,Northwest Everett,59,211966,-0.016,0.373,22,25,0.318,-0.337,-0.066,-0.016,0.07,-10,-0.038,-0.003
neighborhood,Everett,Pinehurst,72,206665,-0.007,0.222,48,25,0.242,-0.143,-0.063,-0.01,-0.218,-38,0,0.149
neighborhood,Everett,Port Gardner,27,205013,0.005,0.37,24,31,0.262,-0.578,-0.009,0.006,0.027,10,-0.061,-0.021
neighborhood,Everett,Riverside,73,187915,0.011,0.466,21,23,0.331,0,0.148,0.009,0.027,-6,0.095,0.268
neighborhood,Everett,Silver Lake,240,372634,-0.001,0.375,10,118,0.213,-0.406,0.183,-0.001,-0.038,4,-0.132,0.116
neighborhood,Everett,South Forest Park,39,246245,0.005,0.256,39,12,0.203,0.114,-0.063,0.024,0.085,-12,0.2,0.076
neighborhood,Everett,Valley View,8,292750,-0.011,0.5,33,3,0.063,0,0.51,-0.098,-0.25,-8,-0.25,-0.326
neighborhood,Everett,View Ridge-Madison,54,246281,-0.004,0.5,18,20,0.12,-0.27,0.014,-0.003,0.311,-4,-0.31,-0.086
neighborhood,Everett,Westmont,13,265915,-0.004,0,51,12,0.16,2.25,0.381,-0.074,0,14,5,-0.197
neighborhood,Federal Way,Adelaide,22,272864,0,0.136,14,16,0.255,-0.522,-0.417,0.004,-0.103,61,-0.111,0.037
neighborhood,Federal Way,Alderbrook,31,255065,0.001,0.387,51,14,0.14,-0.426,-0.082,0,0.017,-37,-0.417,-0.012
neighborhood,Federal Way,Buenna,20,267895,0.001,0.25,142,7,0.256,-0.512,-0.211,0.013,0.152,-115,-0.5,0.039
neighborhood,Federal Way,Campus Highlands,3,320000,0,0,105,4,0.385,-0.25,0.067,0.042,0,-44,3,
neighborhood,Federal Way,Enchanted Village,35,255886,-0.002,0.457,9,15,0.17,-0.125,0.094,0.005,0.182,36,0.5,0.059
neighborhood,Federal Way,Lakota,5,183400,0,0,38,1,0,0,0.188,0.011,-0.8,-16,,
neighborhood,Federal Way,Laurelwood,31,216905,0,0.258,23,10,0.175,0.476,0.132,-0.043,-0.456,52,-0.167,-0.118
neighborhood,Federal Way,Madrona,19,233058,-0.05,0.421,17,10,0.2,-0.406,0.044,-0.089,-0.016,-2,0,-0.056
neighborhood,Federal Way,Marine Hills,31,437803,-0.01,0.419,56,35,0.271,-0.225,0.429,0.024,0.294,-21,0.667,0.025
neighborhood,Federal Way,Mirror Lake,72,213458,0.001,0.319,43,26,0.34,-0.053,0.207,-0.003,-0.062,-29,-0.161,0.122
neighborhood,Federal Way,Redondo,59,281150,-0.011,0.153,63,32,0.168,-0.192,0.182,-0.001,-0.272,-15,0.032,0.019
neighborhood,Federal Way,Redondo,115,353135,-0.006,0.226,41,90,0.248,-0.354,0.09,0.002,-0.004,-2,0.125,0.056
neighborhood,Federal Way,Steel Lake,20,233884,0.001,0.4,6,12,0.169,-0.459,0.128,-0.003,0.157,16,-0.143,-0.191
neighborhood,Federal Way,Twin Lakes,158,256990,-0.007,0.215,57,72,0.251,-0.16,0.168,-0.007,-0.21,-47,0.043,0.032
neighborhood,Federal Way,West Campus,55,326196,-0.007,0.164,29,24,0.207,0.571,0.264,0.011,-0.036,11,0.5,0.007
neighborhood,Issaquah,Gilman,0,,,,,2,0,-1,,,,,,-0.056
neighborhood,Issaquah,Issaquah Highlands,93,762778,0.02,0.731,6,35,0.17,-0.601,0.278,0.018,0.117,5,-0.286,-0.062
